Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Sandip Jain,Gladiators Cricket Club,,Right-arm medium,RHB,2,0.000,0.000,0.410,0.410
Anand Talera,Gladiators Cricket Club,,Right-arm medium,RHB,2,0.000,0.116,0.280,0.396
Harsh R Chordia,Toxic 11,,,,1,0.000,0.000,0.280,0.280
Vansh shaha,Falcon Giants,,Right-arm medium,RHB,1,0.100,0.000,0.000,0.100
Shubham Jain,Parshav Panthers,,,,1,0.100,0.000,0.000,0.100
Aditya Jain,Parshav Panthers,,,,1,0.100,0.000,0.000,0.100
Tejas rajesh jain,Gladiators Cricket Club,,Right-arm medium,LHB,2,0.000,0.040,0.000,0.040
Yash Singhvi,Power Hitters,,,,2,0.000,0.033,0.000,0.033
Rahul Khatod,Toxic 11,,Right-arm medium,RHB,1,0.000,-0.026,0.000,-0.026
Rishabh Saklecha,SR Rangers,Bowler,Right-arm medium,RHB,2,0.100,-0.142,0.000,-0.042
Varun Jain,Parshav Panthers,,,,4,0.000,-0.097,0.000,-0.097
Pratham Dugad,SR Rangers,,,,2,0.000,-0.151,0.000,-0.151
