player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
19500636,Aniket Lunawat,5662281,POWER HITTERS,3,3,1,22,1,15.00,22.00,0,55,55,Right-arm medium,3.4,6
24510219,Siddarth Jain,5662319,TOOFANI JAINS,5,4,1,24,1,15.50,24.00,0,62,62,-,4.0,10
19502707,Shreyas Surana,5662292,K T LIONS,5,2,1,12,1,16.50,12.00,0,33,33,Right-arm Leg Break,2.0,6
9877497,Dr Yashkumar Jain,5662305,ROYAL RAJWADA,4,1,0,0,0,0.00,0.00,0,0,0,Right-arm medium,0.0,0
18368798,Aditya Jogad,5662305,ROYAL RAJWADA,4,1,0,0,0,0.00,0.00,0,0,0,Right-arm medium,0.0,0
19516198,Sachin Jain,5662319,TOOFANI JAINS,5,1,0,0,0,0.00,0.00,0,0,0,-,0.0,0
19513548,Hemant Prasan Bothra,5662292,K T LIONS,2,2,0,12,0,5.50,0.00,0,0,11,-,2.0,4
19506123,Ansh Tushar Doshi,5662300,JAIN UNITED,3,1,0,6,0,6.00,0.00,0,0,6,Right-arm Off Break,1.0,1
19500660,Saransh Baid,5662281,POWER HITTERS,3,1,0,6,0,9.00,0.00,0,0,9,Right-arm medium,1.0,3
19501585,Nilesh Puglia,5662281,POWER HITTERS,3,2,0,12,0,9.00,0.00,0,0,18,Right-arm Leg Break,2.0,2
1740460,Pankaj Mutha,5662305,ROYAL RAJWADA,4,4,0,25,0,10.08,0.00,0,0,42,Slow left-arm chinaman,4.1,12
19524579,Chetan Zambad,5662319,TOOFANI JAINS,5,4,0,42,0,10.57,0.00,0,0,74,Left-arm fast,7.0,16
14923934,Ritesh Jain,5662316,ACLESHWAR KI ANDHI,3,1,0,6,0,11.00,0.00,0,0,11,None,1.0,2
18803578,Khilesh Jain,5662311,SR RANGERS,3,1,0,12,0,11.50,0.00,0,0,23,Right-arm Off Break,2.0,2
19524574,Trishul Bamb,5662323,THE MARVEL PLAYERS,3,2,0,12,0,11.50,0.00,0,0,23,Right-arm medium,2.0,2
25729904,Rohan Dinesh Banthia,5662281,POWER HITTERS,3,2,0,12,0,12.00,0.00,0,0,24,-,2.0,5
19500206,Aayush Nilesh Puglia,5662281,POWER HITTERS,3,2,0,18,0,12.33,0.00,0,0,37,Right-arm Leg Break,3.0,7
7177448,Rishabh Gothi,5662311,SR RANGERS,3,1,0,6,0,13.00,0.00,0,0,13,Right-arm medium,1.0,3
25744933,Anshul Singhvi,5662316,ACLESHWAR KI ANDHI,3,1,0,6,0,13.00,0.00,0,0,13,-,1.0,1
19500407,Ojas Pugliya,5662300,JAIN UNITED,4,3,0,18,0,15.00,0.00,0,0,45,Right-arm medium,3.0,6
19503230,Chetan Nandkishor Munot,5662281,POWER HITTERS,3,1,0,6,0,15.00,0.00,0,0,15,Right-arm medium,1.0,3
19528642,Manojraj Singhvi,5662305,ROYAL RAJWADA,3,1,0,6,0,16.00,0.00,0,0,16,-,1.0,3
19514122,Nilesh Banwat,5662300,JAIN UNITED,4,2,0,12,0,16.50,0.00,0,0,33,None,2.0,3
25734529,Ajay Pravin Kothari,5662323,THE MARVEL PLAYERS,3,1,0,6,0,17.00,0.00,0,0,17,-,1.0,1
19520051,Hemantraj Singhvi,5662305,ROYAL RAJWADA,4,2,0,8,0,18.00,0.00,0,0,24,Right-arm Off Break,1.2,4
3551413,Bunty Jain,5662319,TOOFANI JAINS,3,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
4136467,Rupesh Jain,5662311,SR RANGERS,3,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
4178393,Rushabh Puglia,5662281,POWER HITTERS,1,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
4672124,Dhawal Pankaj Jain,5662319,TOOFANI JAINS,5,0,,,,0.00,0.00,0,0,0,Right-arm Off Break,0.0,0
8840700,Deepak Jain,5662311,SR RANGERS,3,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
14855845,Adi Doshi,5662305,ROYAL RAJWADA,3,0,,,,0.00,0.00,0,0,0,Right-arm fast,0.0,0
14858474,Tushar Doshi,5662305,ROYAL RAJWADA,2,0,,,,0.00,0.00,0,0,0,Right-arm fast,0.0,0
19500479,Narendra Bohra,5662292,K T LIONS,5,0,,,,0.00,0.00,0,0,0,-,0.0,0
19500494,Rohit Bothra,5662300,JAIN UNITED,4,0,,,,0.00,0.00,0,0,0,Right-arm Leg Break,0.0,0
19500610,Vishal Mutha,5662300,JAIN UNITED,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
19501201,Jay Baid,5662300,JAIN UNITED,4,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
19501490,Sumit P Lunawat,5662281,POWER HITTERS,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
19501518,Tushar Mutha,5662319,TOOFANI JAINS,2,0,,,,0.00,0.00,0,0,0,Right-arm Leg Break,0.0,0
19502195,Ritesh Pugliya,5662300,JAIN UNITED,3,0,,,,0.00,0.00,0,0,0,-,0.0,0
19502387,Harsh Daga,5662323,THE MARVEL PLAYERS,3,0,,,,0.00,0.00,0,0,0,-,0.0,0
19503423,Vansh shaha,5662281,POWER HITTERS,2,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
19505004,Siddarth Chopda,5662300,JAIN UNITED,4,0,,,,0.00,0.00,0,0,0,-,0.0,0
19507790,Amit Bhalgat,5662323,THE MARVEL PLAYERS,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
19508120,Tanish Rajesh Chordiya,5662319,TOOFANI JAINS,4,0,,,,0.00,0.00,0,0,0,-,0.0,0
19509652,Sunil Pancholi,5662281,POWER HITTERS,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
19513925,Rahul Kothari,5662311,SR RANGERS,2,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
19519885,Chikky Jain,5662292,K T LIONS,5,0,,,,0.00,0.00,0,0,0,Right-arm Leg Break,0.0,0
19519957,Shanti Dugad,5662316,ACLESHWAR KI ANDHI,3,0,,,,0.00,0.00,0,0,0,Right-arm fast,0.0,0
19519972,Rajesh Chordiya,5662292,K T LIONS,4,0,,,,0.00,0.00,0,0,0,-,0.0,0
19519974,Tushar Bohra,5662319,TOOFANI JAINS,2,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
19520050,Gautam Bhandari,5662292,K T LIONS,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
19524478,Kushal Daga,5662323,THE MARVEL PLAYERS,3,0,,,,0.00,0.00,0,0,0,-,0.0,0
19524576,Raja Parakh,5662311,SR RANGERS,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
19526349,Rupesh Dugad,5662323,THE MARVEL PLAYERS,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
19527344,Parshv Khajanchi,5662305,ROYAL RAJWADA,3,0,,,,0.00,0.00,0,0,0,-,0.0,0
19537796,A Puglia,5662316,ACLESHWAR KI ANDHI,1,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
19537862,Rajat Golechha,5662300,JAIN UNITED,3,0,,,,0.00,0.00,0,0,0,Right-arm fast,0.0,0
24510656,Sanskar Jain,5662319,TOOFANI JAINS,5,0,,,,0.00,0.00,0,0,0,-,0.0,0
25729700,Harsh R Chordia,5662281,POWER HITTERS,3,0,,,,0.00,0.00,0,0,0,-,0.0,0
25729785,Amol Lodha,5662281,POWER HITTERS,3,0,,,,0.00,0.00,0,0,0,-,0.0,0
25733622,Nishchay Bohra,5662292,K T LIONS,4,0,,,,0.00,0.00,0,0,0,-,0.0,0
25737700,Akshat Chhallani,5662281,POWER HITTERS,1,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
25739934,Amit Baid,5662305,ROYAL RAJWADA,4,0,,,,0.00,0.00,0,0,0,-,0.0,0
25741859,Nishant Lodha,5662319,TOOFANI JAINS,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
25744303,Samruddhi Jain,5662292,K T LIONS,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
25745336,Manish Bhandari,5662316,ACLESHWAR KI ANDHI,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
25745903,Gaurav Gandhi,5662319,TOOFANI JAINS,5,0,,,,0.00,0.00,0,0,0,-,0.0,0
25749964,Priyanshu Khajanchi,5662300,JAIN UNITED,3,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
25756111,Varun Gandhi,5662316,ACLESHWAR KI ANDHI,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
25757796,Anup Khatod,5662323,THE MARVEL PLAYERS,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
25758499,Amit Jain,5662316,ACLESHWAR KI ANDHI,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
25768151,Yash Mutha,5662300,JAIN UNITED,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
25861758,Titiksha Singhavi,5662305,ROYAL RAJWADA,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
